Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
O95619	YETS4_HUMAN	reviewed	YEATS domain-containing protein 4 (Glioma-amplified sequence 41) (Gas41) (NuMA-binding protein 1) (NuBI-1) (NuBI1)	YEATS4 GAS41	Homo sapiens (Human)	227	TFs
Q03111	ENL_HUMAN	reviewed	Protein ENL (YEATS domain-containing protein 1)	MLLT1 ENL LTG19 YEATS1	Homo sapiens (Human)	559	TFs
Q99742	NPAS1_HUMAN	reviewed	Neuronal PAS domain-containing protein 1 (Neuronal PAS1) (Basic-helix-loop-helix-PAS protein MOP5) (Class E basic helix-loop-helix protein 11) (bHLHe11) (Member of PAS protein 5) (PAS domain-containing protein 5)	NPAS1 BHLHE11 MOP5 PASD5	Homo sapiens (Human)	590	TFs
Q86V15	CASZ1_HUMAN	reviewed	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	Homo sapiens (Human)	1759	TFs
Q92785	REQU_HUMAN	reviewed	Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)	DPF2 BAF45D REQ UBID4	Homo sapiens (Human)	391	TFs
Q9Y242	TCF19_HUMAN	reviewed	Transcription factor 19 (TCF-19) (Transcription factor SC1)	TCF19 SC1	Homo sapiens (Human)	345	TFs
Q9HCU5	PREB_HUMAN	reviewed	Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12)	PREB SEC12	Homo sapiens (Human)	417	TFs
Q8N187	CARTF_HUMAN	reviewed	Calcium-responsive transcription factor (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein) (Calcium-response factor) (CaRF) (Testis development protein NYD-SP24)	CARF ALS2CR8	Homo sapiens (Human)	725	TFs
Q9BQ70	TCF25_HUMAN	reviewed	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	TCF25 KIAA1049 NULP1 FKSG26	Homo sapiens (Human)	676	TFs
Q96JY0	MAEL_HUMAN	reviewed	Protein maelstrom homolog	MAEL	Homo sapiens (Human)	434	TFs
P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014	TFs
P82094	TMF1_HUMAN	reviewed	TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)	TMF1 ARA160	Homo sapiens (Human)	1093	TFs
Q96QR8	PURB_HUMAN	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312	TFs
Q9ULV3	CIZ1_HUMAN	reviewed	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	CIZ1 LSFR1 NP94 ZNF356	Homo sapiens (Human)	898	TFs
Q9BXX3	AN30A_HUMAN	reviewed	Ankyrin repeat domain-containing protein 30A (Serologically defined breast cancer antigen NY-BR-1)	ANKRD30A	Homo sapiens (Human)	1397	TFs
Q8IYA7	MKX_HUMAN	reviewed	Homeobox protein Mohawk	MKX C10orf48 IRXL1	Homo sapiens (Human)	352	TFs
Q9UK39	NOCT_HUMAN	reviewed	Nocturnin (EC 3.1.13.4) (Carbon catabolite repression 4-like protein) (Circadian deadenylase NOC)	NOCT CCR4 CCRN4L NOC	Homo sapiens (Human)	431	TFs
P47974	TISD_HUMAN	reviewed	mRNA decay activator protein ZFP36L2 (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (TPA-induced sequence 11d) (Zinc finger protein 36, C3H1 type-like 2) (ZFP36-like 2)	ZFP36L2 BRF2 ERF2 RNF162C TIS11D	Homo sapiens (Human)	494	TFs
Q7Z3K6	MIER3_HUMAN	reviewed	Mesoderm induction early response protein 3 (Mi-er3)	MIER3	Homo sapiens (Human)	550	TFs
Q9Y5B6	PAXB1_HUMAN	reviewed	PAX3- and PAX7-binding protein 1 (GC-rich sequence DNA-binding factor 1)	PAXBP1 C21orf66 GCFC GCFC1	Homo sapiens (Human)	917	TFs
Q14190	SIM2_HUMAN	reviewed	Single-minded homolog 2 (Class E basic helix-loop-helix protein 15) (bHLHe15)	SIM2 BHLHE15	Homo sapiens (Human)	667	TFs
Q96AE4	FUBP1_HUMAN	reviewed	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	FUBP1	Homo sapiens (Human)	644	TFs
Q9BXG8	SPZ1_HUMAN	reviewed	Spermatogenic leucine zipper protein 1 (Testis-specific protein 1) (Testis-specific protein NYD-TSP1)	SPZ1 TSP1	Homo sapiens (Human)	430	TFs
Q9UI36	DACH1_HUMAN	reviewed	Dachshund homolog 1 (Dach1)	DACH1 DACH	Homo sapiens (Human)	758	TFs
Q86YP4	P66A_HUMAN	reviewed	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	GATAD2A	Homo sapiens (Human)	633	TFs
Q01954	BNC1_HUMAN	reviewed	Zinc finger protein basonuclin-1	BNC1 BNC	Homo sapiens (Human)	994	TFs
P62633	CNBP_HUMAN	reviewed	Cellular nucleic acid-binding protein (CNBP) (Zinc finger protein 9)	CNBP RNF163 ZNF9	Homo sapiens (Human)	177	TFs
Q6P4R8	NFRKB_HUMAN	reviewed	Nuclear factor related to kappa-B-binding protein (DNA-binding protein R kappa-B) (INO80 complex subunit G)	NFRKB INO80G	Homo sapiens (Human)	1299	TFs
Q8IUM7	NPAS4_HUMAN	reviewed	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (Class E basic helix-loop-helix protein 79) (bHLHe79) (HLH-PAS transcription factor NXF) (PAS domain-containing protein 10)	NPAS4 BHLHE79 NXF PASD10	Homo sapiens (Human)	802	TFs
Q9NRE2	TSH2_HUMAN	reviewed	Teashirt homolog 2 (Ovarian cancer-related protein 10-2) (OVC10-2) (Zinc finger protein 218)	TSHZ2 C20orf17 TSH2 ZNF218	Homo sapiens (Human)	1034	TFs
Q00577	PURA_HUMAN	reviewed	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA PUR1	Homo sapiens (Human)	322	TFs
Q07352	TISB_HUMAN	reviewed	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	Homo sapiens (Human)	338	TFs
O15226	NKRF_HUMAN	reviewed	NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF)	NKRF ITBA4 NRF	Homo sapiens (Human)	690	TFs
Q8N108	MIER1_HUMAN	reviewed	Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1)	MIER1 KIAA1610	Homo sapiens (Human)	512	TFs
Q9H3D4	P63_HUMAN	reviewed	Tumor protein 63 (p63) (Chronic ulcerative stomatitis protein) (CUSP) (Keratinocyte transcription factor KET) (Transformation-related protein 63) (TP63) (Tumor protein p73-like) (p73L) (p40) (p51)	TP63 KET P63 P73H P73L TP73L	Homo sapiens (Human)	680	TFs
P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393	TFs
O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636	TFs
O43316	PAX4_HUMAN	reviewed	Paired box protein Pax-4	PAX4	Homo sapiens (Human)	350	TFs
Q02548	PAX5_HUMAN	reviewed	Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP)	PAX5	Homo sapiens (Human)	391	TFs
P55771	PAX9_HUMAN	reviewed	Paired box protein Pax-9	PAX9	Homo sapiens (Human)	341	TFs
Q02962	PAX2_HUMAN	reviewed	Paired box protein Pax-2	PAX2	Homo sapiens (Human)	417	TFs
P23759	PAX7_HUMAN	reviewed	Paired box protein Pax-7 (HuP1)	PAX7 HUP1	Homo sapiens (Human)	505	TFs
P26367	PAX6_HUMAN	reviewed	Paired box protein Pax-6 (Aniridia type II protein) (Oculorhombin)	PAX6 AN2	Homo sapiens (Human)	422	TFs
P23760	PAX3_HUMAN	reviewed	Paired box protein Pax-3 (HuP2)	PAX3 HUP2	Homo sapiens (Human)	479	TFs
P15863	PAX1_HUMAN	reviewed	Paired box protein Pax-1 (HuP48)	PAX1 HUP48	Homo sapiens (Human)	534	TFs
Q06710	PAX8_HUMAN	reviewed	Paired box protein Pax-8	PAX8	Homo sapiens (Human)	450	TFs
P53999	TCP4_HUMAN	reviewed	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)	127	TFs
Q15319	PO4F3_HUMAN	reviewed	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C)	POU4F3 BRN3C	Homo sapiens (Human)	338	TFs
Q01860	PO5F1_HUMAN	reviewed	POU domain, class 5, transcription factor 1 (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	POU5F1 OCT3 OCT4 OTF3	Homo sapiens (Human)	360	TFs
Q9UKI9	PO2F3_HUMAN	reviewed	POU domain, class 2, transcription factor 3 (Octamer-binding protein 11) (Oct-11) (Octamer-binding transcription factor 11) (OTF-11) (Transcription factor PLA-1) (Transcription factor Skn-1)	POU2F3 OTF11 PLA1	Homo sapiens (Human)	436	TFs
Q12837	PO4F2_HUMAN	reviewed	POU domain, class 4, transcription factor 2 (Brain-specific homeobox/POU domain protein 3B) (Brain-3B) (Brn-3B)	POU4F2 BRN3B	Homo sapiens (Human)	409	TFs
P20265	PO3F2_HUMAN	reviewed	POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)	POU3F2 BRN2 OCT7 OTF7	Homo sapiens (Human)	443	TFs
P28069	PIT1_HUMAN	reviewed	Pituitary-specific positive transcription factor 1 (PIT-1) (Growth hormone factor 1) (GHF-1)	POU1F1 GHF1 PIT1	Homo sapiens (Human)	291	TFs
P20264	PO3F3_HUMAN	reviewed	POU domain, class 3, transcription factor 3 (Brain-specific homeobox/POU domain protein 1) (Brain-1) (Brn-1) (Octamer-binding protein 8) (Oct-8) (Octamer-binding transcription factor 8) (OTF-8)	POU3F3 BRN1 OTF8	Homo sapiens (Human)	500	TFs
P14859	PO2F1_HUMAN	reviewed	POU domain, class 2, transcription factor 1 (NF-A1) (Octamer-binding protein 1) (Oct-1) (Octamer-binding transcription factor 1) (OTF-1)	POU2F1 OCT1 OTF1	Homo sapiens (Human)	743	TFs
Q03052	PO3F1_HUMAN	reviewed	POU domain, class 3, transcription factor 1 (Octamer-binding protein 6) (Oct-6) (Octamer-binding transcription factor 6) (OTF-6) (POU domain transcription factor SCIP)	POU3F1 OCT6 OTF6	Homo sapiens (Human)	451	TFs
P49335	PO3F4_HUMAN	reviewed	POU domain, class 3, transcription factor 4 (Brain-specific homeobox/POU domain protein 4) (Brain-4) (Brn-4) (Octamer-binding protein 9) (Oct-9) (Octamer-binding transcription factor 9) (OTF-9)	POU3F4 BRN4 OTF9	Homo sapiens (Human)	361	TFs
Q01851	PO4F1_HUMAN	reviewed	POU domain, class 4, transcription factor 1 (Brain-specific homeobox/POU domain protein 3A) (Brain-3A) (Brn-3A) (Homeobox/POU domain protein RDC-1) (Oct-T1)	POU4F1 BRN3A RDC1	Homo sapiens (Human)	419	TFs
Q14863	PO6F1_HUMAN	reviewed	POU domain, class 6, transcription factor 1 (Brain-specific homeobox/POU domain protein 5) (Brain-5) (Brn-5) (mPOU homeobox protein)	POU6F1 BRN5 MPOU TCFB1	Homo sapiens (Human)	301	TFs
P78424	PO6F2_HUMAN	reviewed	POU domain, class 6, transcription factor 2 (Retina-derived POU domain factor 1) (RPF-1)	POU6F2 RPF1	Homo sapiens (Human)	691	TFs
Q06416	P5F1B_HUMAN	reviewed	Putative POU domain, class 5, transcription factor 1B (Oct4-pg1) (Octamer-binding protein 3-like) (Octamer-binding transcription factor 3-like)	POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8	Homo sapiens (Human)	359	TFs
P09086	PO2F2_HUMAN	reviewed	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	POU2F2 OCT2 OTF2	Homo sapiens (Human)	479	TFs
Q8N7G0	PO5F2_HUMAN	reviewed	POU domain, class 5, transcription factor 2 (Sperm 1 POU domain transcription factor) (SPRM-1)	POU5F2 SPRM1	Homo sapiens (Human)	328	TFs
P10588	NR2F6_HUMAN	reviewed	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NR2F6 EAR2 ERBAL2	Homo sapiens (Human)	404	TFs
P41235	HNF4A_HUMAN	reviewed	Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4)	HNF4A HNF4 NR2A1 TCF14	Homo sapiens (Human)	474	TFs
P49116	NR2C2_HUMAN	reviewed	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	NR2C2 TAK1 TR4	Homo sapiens (Human)	596	TFs
P10589	COT1_HUMAN	reviewed	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	NR2F1 EAR3 ERBAL3 TFCOUP1	Homo sapiens (Human)	423	TFs
P13056	NR2C1_HUMAN	reviewed	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2)	NR2C1 TR2	Homo sapiens (Human)	603	TFs
P48443	RXRG_HUMAN	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3	Homo sapiens (Human)	463	TFs
Q9Y466	NR2E1_HUMAN	reviewed	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)	NR2E1 TLX	Homo sapiens (Human)	385	TFs
P28702	RXRB_HUMAN	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	RXRB NR2B2	Homo sapiens (Human)	533	TFs
P24468	COT2_HUMAN	reviewed	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NR2F2 ARP1 TFCOUP2	Homo sapiens (Human)	414	TFs
Q14541	HNF4G_HUMAN	reviewed	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	HNF4G NR2A2	Homo sapiens (Human)	408	TFs
P19793	RXRA_HUMAN	reviewed	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	RXRA NR2B1	Homo sapiens (Human)	462	TFs
P22670	RFX1_HUMAN	reviewed	MHC class II regulatory factor RFX1 (Enhancer factor C) (EF-C) (Regulatory factor X 1) (RFX) (Transcription factor RFX1)	RFX1	Homo sapiens (Human)	979	TFs
P48382	RFX5_HUMAN	reviewed	DNA-binding protein RFX5 (Regulatory factor X 5)	RFX5	Homo sapiens (Human)	616	TFs
P48378	RFX2_HUMAN	reviewed	DNA-binding protein RFX2 (Regulatory factor X 2)	RFX2	Homo sapiens (Human)	723	TFs
Q8HWS3	RFX6_HUMAN	reviewed	DNA-binding protein RFX6 (Regulatory factor X 6) (Regulatory factor X domain-containing protein 1)	RFX6 RFXDC1	Homo sapiens (Human)	928	TFs
Q33E94	RFX4_HUMAN	reviewed	Transcription factor RFX4 (Regulatory factor X 4) (Testis development protein NYD-SP10)	RFX4	Homo sapiens (Human)	735	TFs
Q6ZV50	RFX8_HUMAN	reviewed	DNA-binding protein RFX8 (Regulatory factor X 8)	RFX8	Homo sapiens (Human)	586	TFs
P48380	RFX3_HUMAN	reviewed	Transcription factor RFX3 (Regulatory factor X 3)	RFX3	Homo sapiens (Human)	749	TFs
Q2KHR2	RFX7_HUMAN	reviewed	DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2)	RFX7 RFXDC2	Homo sapiens (Human)	1363	TFs
Q01201	RELB_HUMAN	reviewed	Transcription factor RelB (I-Rel)	RELB	Homo sapiens (Human)	579	TFs
P19838	NFKB1_HUMAN	reviewed	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	NFKB1	Homo sapiens (Human)	968	TFs
Q04864	REL_HUMAN	reviewed	Proto-oncogene c-Rel	REL	Homo sapiens (Human)	619	TFs
Q12968	NFAC3_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (NFATx) (T-cell transcription factor NFAT4) (NF-AT4)	NFATC3 NFAT4	Homo sapiens (Human)	1075	TFs
Q00653	NFKB2_HUMAN	reviewed	Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]	NFKB2 LYT10	Homo sapiens (Human)	900	TFs
Q13469	NFAC2_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	NFATC2 NFAT1 NFATP	Homo sapiens (Human)	925	TFs
Q04206	TF65_HUMAN	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	Homo sapiens (Human)	551	TFs
Q14934	NFAC4_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)	NFATC4 NFAT3	Homo sapiens (Human)	902	TFs
O95644	NFAC1_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	NFATC1 NFAT2 NFATC	Homo sapiens (Human)	943	TFs
O94916	NFAT5_HUMAN	reviewed	Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP)	NFAT5 KIAA0827 TONEBP	Homo sapiens (Human)	1531	TFs
Q01196	RUNX1_HUMAN	reviewed	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	RUNX1 AML1 CBFA2	Homo sapiens (Human)	453	TFs
Q13950	RUNX2_HUMAN	reviewed	Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit)	RUNX2 AML3 CBFA1 OSF2 PEBP2A	Homo sapiens (Human)	521	TFs
Q13761	RUNX3_HUMAN	reviewed	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	RUNX3 AML2 CBFA3 PEBP2A3	Homo sapiens (Human)	415	TFs
Q9HB58	SP110_HUMAN	reviewed	Sp110 nuclear body protein (Interferon-induced protein 41/75) (Speckled 110 kDa) (Transcriptional coactivator Sp110)	SP110	Homo sapiens (Human)	689	TFs
Q9UKD1	GMEB2_HUMAN	reviewed	Glucocorticoid modulatory element-binding protein 2 (GMEB-2) (DNA-binding protein p79PIF) (Parvovirus initiation factor p79) (PIF p79)	GMEB2 KIAA1269	Homo sapiens (Human)	530	TFs
O43918	AIRE_HUMAN	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545	TFs
Q9Y692	GMEB1_HUMAN	reviewed	Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96)	GMEB1	Homo sapiens (Human)	573	TFs
P23497	SP100_HUMAN	reviewed	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)	SP100	Homo sapiens (Human)	879	TFs
O75398	DEAF1_HUMAN	reviewed	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	DEAF1 SPN ZMYND5	Homo sapiens (Human)	565	TFs
Q13342	SP140_HUMAN	reviewed	Nuclear body protein SP140 (Lymphoid-restricted homolog of Sp100) (LYSp100) (Nuclear autoantigen Sp-140) (Speckled 140 kDa)	SP140 LYSP100	Homo sapiens (Human)	867	TFs
Q9H930	SP14L_HUMAN	reviewed	Nuclear body protein SP140-like protein	SP140L	Homo sapiens (Human)	580	TFs
P11831	SRF_HUMAN	reviewed	Serum response factor (SRF)	SRF	Homo sapiens (Human)	508	TFs
Q14814	MEF2D_HUMAN	reviewed	Myocyte-specific enhancer factor 2D	MEF2D	Homo sapiens (Human)	521	TFs
Q02078	MEF2A_HUMAN	reviewed	Myocyte-specific enhancer factor 2A (Serum response factor-like protein 1)	MEF2A MEF2	Homo sapiens (Human)	507	TFs
Q06413	MEF2C_HUMAN	reviewed	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	MEF2C	Homo sapiens (Human)	473	TFs
Q02080	MEF2B_HUMAN	reviewed	Myocyte-specific enhancer factor 2B (RSRFR2) (Serum response factor-like protein 2)	MEF2B XMEF2	Homo sapiens (Human)	365	TFs
P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770	TFs
P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	Homo sapiens (Human)	787	TFs
P42226	STAT6_HUMAN	reviewed	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847	TFs
P52630	STAT2_HUMAN	reviewed	Signal transducer and activator of transcription 2 (p113)	STAT2	Homo sapiens (Human)	851	TFs
P42229	STA5A_HUMAN	reviewed	Signal transducer and activator of transcription 5A	STAT5A STAT5	Homo sapiens (Human)	794	TFs
Q14765	STAT4_HUMAN	reviewed	Signal transducer and activator of transcription 4	STAT4	Homo sapiens (Human)	748	TFs
P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750	TFs
O00482	NR5A2_HUMAN	reviewed	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541	TFs
Q13285	STF1_HUMAN	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1 AD4BP FTZF1 SF1	Homo sapiens (Human)	461	TFs
Q9UL17	TBX21_HUMAN	reviewed	T-box transcription factor TBX21 (T-box protein 21) (T-cell-specific T-box transcription factor T-bet) (Transcription factor TBLYM)	TBX21 TBET TBLYM	Homo sapiens (Human)	535	TFs
Q13207	TBX2_HUMAN	reviewed	T-box transcription factor TBX2 (T-box protein 2)	TBX2	Homo sapiens (Human)	712	TFs
O15119	TBX3_HUMAN	reviewed	T-box transcription factor TBX3 (T-box protein 3)	TBX3	Homo sapiens (Human)	743	TFs
O15178	TBXT_HUMAN	reviewed	T-box transcription factor T (Brachyury protein) (Protein T)	TBXT T	Homo sapiens (Human)	435	TFs
Q99593	TBX5_HUMAN	reviewed	T-box transcription factor TBX5 (T-box protein 5)	TBX5	Homo sapiens (Human)	518	TFs
O43435	TBX1_HUMAN	reviewed	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T-box protein)	TBX1	Homo sapiens (Human)	398	TFs
